userId,fullName,email,mobile,role,district,state,createdAt
USR-1000,Kamala Thangavel,kamala.thangavel0@biosecure.in,+91 8328306011,Farmer,Hyderabad,Telangana,2026-06-17T00:00:00Z
USR-1001,Thenmozhi Murugan,thenmozhi.murugan1@biosecure.in,+91 9253407200,Farmer,Nizamabad,Telangana,2026-03-09T00:00:00Z
USR-1002,Nithya Patel,nithya.patel2@biosecure.in,+91 8902099969,Government Officer,Tirupati,Andhra Pradesh,2026-05-30T00:00:00Z
USR-1003,Sunil Marimuthu,sunil.marimuthu3@biosecure.in,+91 9488690725,Farmer,Hyderabad,Telangana,2026-02-26T00:00:00Z
USR-1004,Nithya Arumugam,nithya.arumugam4@biosecure.in,+91 6911514914,Farmer,Visakhapatnam,Andhra Pradesh,2026-01-13T00:00:00Z
USR-1005,Ramesh Nair,ramesh.nair5@biosecure.in,+91 7950488739,Farmer,Nizamabad,Telangana,2026-06-24T00:00:00Z
USR-1006,Sunil Balakrishnan,sunil.balakrishnan6@biosecure.in,+91 9509760584,Farmer,Erode,Tamil Nadu,2026-06-02T00:00:00Z
USR-1007,Saroja Arumugam,saroja.arumugam7@biosecure.in,+91 6830448745,Veterinarian,Kozhikode,Kerala,2026-07-04T00:00:00Z
USR-1008,Ramesh Sundaram,ramesh.sundaram8@biosecure.in,+91 8925276600,Farmer,Tirupati,Andhra Pradesh,2026-06-14T00:00:00Z
USR-1009,Latha Pillai,latha.pillai9@biosecure.in,+91 9269820594,Veterinarian,Thrissur,Kerala,2026-04-27T00:00:00Z
USR-1010,Ravi Palaniswamy,ravi.palaniswamy10@biosecure.in,+91 7645119047,Veterinarian,Kozhikode,Kerala,2026-08-22T00:00:00Z
USR-1011,Geetha Karuppasamy,geetha.karuppasamy11@biosecure.in,+91 8786066793,Farmer,Nizamabad,Telangana,2026-05-10T00:00:00Z
USR-1012,Meenakshi Sharma,meenakshi.sharma12@biosecure.in,+91 8918739736,Farmer,Madurai,Tamil Nadu,2026-02-11T00:00:00Z
USR-1013,Nirmala Ramasamy,nirmala.ramasamy13@biosecure.in,+91 6743111853,Farmer,Guntur,Andhra Pradesh,2026-03-24T00:00:00Z
USR-1014,Kiran Kumar,kiran.kumar14@biosecure.in,+91 8992994062,Veterinarian,Chennai,Tamil Nadu,2026-07-26T00:00:00Z
USR-1015,Indira Patel,indira.patel15@biosecure.in,+91 7709194872,Farmer,Salem,Tamil Nadu,2026-01-21T00:00:00Z
USR-1016,Vijay Palaniswamy,vijay.palaniswamy16@biosecure.in,+91 6916690353,Farmer,Visakhapatnam,Andhra Pradesh,2026-05-17T00:00:00Z
USR-1017,Annamalai Nair,annamalai.nair17@biosecure.in,+91 9690347116,Government Officer,Madurai,Tamil Nadu,2026-02-12T00:00:00Z
USR-1018,Malathi Arumugam,malathi.arumugam18@biosecure.in,+91 9327416584,Veterinarian,Warangal,Telangana,2026-08-26T00:00:00Z
USR-1019,Nirmala Ramasamy,nirmala.ramasamy19@biosecure.in,+91 8528414718,Farmer,Kochi,Kerala,2026-06-21T00:00:00Z
